package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.shopl.sdg.component.tab.Indicator,Indicator,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.component.tab.SDGTextTab,SDGTextTab,1,1,1,0,0,0,0,0,1,2,
com.shopl.sdg.component.tab.SDGTextTabItem,SDGTextTabItem,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.text_input.SDGFixedInput,SDGFixedInput,1,1,1,0,0,0,1,0,2,8,
com.shopl.sdg.component.text_input.SDGUnderlineInput,SDGUnderlineInput,1,1,1,0,0,0,1,0,2,9,
com.shopl.sdg.component.text_input.keyboardAsState,keyboardAsState,1,0,0,0,0,0,0,0,1,2,
com.shopl.sdg.component.text_input.SDGSimpleInput,SDGSimpleInput,1,1,1,0,0,0,1,0,2,5,
com.shopl.sdg.component.text_input.SDGSimpleInput,SDGSimpleInput,1,1,1,0,0,0,1,0,3,2,
com.shopl.sdg.component.text_input.SDGSimpleInput,SDGSimpleInput,1,1,1,0,0,0,1,0,3,2,
com.shopl.sdg.component.text_input.PrevInput,PrevInput,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.toggle.SDGToggle,SDGToggle,1,1,1,0,0,0,1,0,2,3,
com.shopl.sdg.component.toggle.SDGTogglePreview,SDGTogglePreview,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.util.SDGBottomButton,SDGBottomButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.util.SDGBottomButton,SDGBottomButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.util.PreviewBottomButton,PreviewBottomButton,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.util.SDGBoxBadge,SDGBoxBadge,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.util.PrevSDGBoxBadge,PrevSDGBoxBadge,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.form.SDGDropdownForm,SDGDropdownForm,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.form.SDGDropdownForm,SDGDropdownForm,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.form.SDGSelectedInputForm,SDGSelectedInputForm,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.form.SDGSelectedInputForm,SDGSelectedInputForm,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.form.SDGFixedInputForm,SDGFixedInputForm,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.form.SDGFixedInputForm,SDGFixedInputForm,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.template.form.SDGTimeSelectedForm,SDGTimeSelectedForm,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.form.SDGTimeSelectedForm,SDGTimeSelectedForm,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.form.PrevForm,PrevForm,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.history.SDGHistoryHeader01,SDGHistoryHeader01,1,1,1,0,0,0,0,0,1,2,
com.shopl.sdg.template.history.SDGHistoryHeader,SDGHistoryHeader,1,1,1,0,0,0,1,0,2,2,
com.shopl.sdg.template.history.SDGHistoryTop,SDGHistoryTop,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.history.SDGHistoryBottom,SDGHistoryBottom,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.history.PrevHistoryHeader,PrevHistoryHeader,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.history.PrevHistory,PrevHistory,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.multi_calendar.SDGMultiCalendarModal,SDGMultiCalendarModal,1,1,1,0,0,0,1,0,2,9,
com.shopl.sdg.template.multi_calendar.SDGMultiCalendarModalPreview01,SDGMultiCalendarModalPreview01,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.navigation.SDGTopNaviBasic,SDGTopNaviBasic,1,1,1,0,0,0,1,0,2,2,
com.shopl.sdg.template.navigation.BasicLayer,BasicLayer,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.template.navigation.SearchLayer,SearchLayer,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.navigation.SDGTopNaviSearch,SDGTopNaviSearch,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.template.navigation.SDGTopNaviProfile,SDGTopNaviProfile,1,1,1,0,0,0,1,0,2,2,
com.shopl.sdg.template.navigation.ProfileLayer,ProfileLayer,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.template.navigation.PrevToolBar,PrevToolBar,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.popup.SDGBottomPopup,SDGBottomPopup,1,1,1,0,0,0,1,0,2,5,
com.shopl.sdg.template.popup.SDGListPopup,SDGListPopup,1,1,1,0,0,0,0,0,1,2,
com.shopl.sdg.template.popup.SDGListPopupItem,SDGListPopupItem,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.popup.SDGConfirmPopup,SDGConfirmPopup,1,1,1,0,0,0,1,0,2,3,
com.shopl.sdg.template.popup.SDGConfirmPopup,SDGConfirmPopup,1,1,1,0,0,0,1,0,2,4,
com.shopl.sdg.template.popup.SDGInfoPopup,SDGInfoPopup,1,1,1,0,0,0,1,0,2,2,
com.shopl.sdg.template.popup.SDGInfoPopup,SDGInfoPopup,1,1,1,0,0,0,1,0,2,2,
com.shopl.sdg.template.popup.SDGInfoPopup,SDGInfoPopup,1,1,1,0,0,0,1,0,2,2,
com.shopl.sdg.template.popup.SDGInfoPopup,SDGInfoPopup,1,1,1,0,0,0,1,0,2,3,
com.shopl.sdg.template.popup.SDGIconPopup,SDGIconPopup,1,1,1,0,0,0,1,0,2,3,
com.shopl.sdg.template.popup.SDGPopup,SDGPopup,1,1,1,0,0,0,1,0,2,4,
com.shopl.sdg.template.popup.SDGPopupBottomButton,SDGPopupBottomButton,1,1,1,0,0,0,1,0,2,4,
com.shopl.sdg.template.popup.SDGPopupBodyBullet,SDGPopupBodyBullet,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.popup.SDGPopupBodyBullet,SDGPopupBodyBullet,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.popup.PrevTest,PrevTest,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.popup.PrevTest2,PrevTest2,1,1,1,0,0,0,0,0,1,1,
